Serial Number,Credit Card Name,Credit Card Image,Flight Benefit
93,Adani One ICICI Platinum Credit Card,"https://static.wixstatic.com/media/2a565f_99cd3d9aa9c3440a8202fd30b0c345fc~mv2.jpg/v1/fill/w_154,h_243,al_c,q_80,blur_3,enc_avif,quality_auto/images.jpg","3% reward points on booking flight through Adani One Credit Card.
"
96,Paytm SBI Card,"https://static.wixstatic.com/media/f836e8_a0a55fac3ed1407db92ed1dc741c5465~mv2.webp/v1/fill/w_190,h_121,al_c,q_80,blur_3,enc_avif,quality_auto/BPCLSBI%20Card%20.webp","Reward System: Users will get 3% cashback on Paytm Mall, movies and travel including booking flight tickets through PayTm."
97,Kotak IndiGo 6E Rewards XL Credit Card,"https://static.wixstatic.com/media/2a565f_edd3d465092d420e993310d2d5597b61~mv2.webp/v1/fill/w_178,h_283,al_c,q_80,blur_3,enc_avif,quality_auto/download.webp",Users will get 6 6E rewards for every INR 100 spent on IndiGo. Effective cashback rate: 6% (IndiGo spends).
102,RBL Bank Paisabazaar Duet Card Plus,"https://static.wixstatic.com/media/2a565f_0344937a987348d39c3c950c82a6d80a~mv2.webp/v1/fill/w_95,h_120,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/duet-card.webp","2.5% cashback on all dining & travel spends, including flight booking.
"
103,Yatra SBI Card,"https://static.wixstatic.com/media/f836e8_7a554347c6e740f89c5bf9df9c1e21c7~mv2.webp/v1/fill/w_190,h_121,al_c,q_80,blur_3,enc_avif,quality_auto/Yatra%20SBI%20Card.webp","Welcome Benefit: Users will get Yatra; INR 1,000 off on all domestic flight bookings; INR 4,000 off on all international flight bookings"
108,Reliance SBI Card,"https://static.wixstatic.com/media/f836e8_2fd9e05b094a4e369e2b97f78413bb10~mv2.webp/v1/fill/w_190,h_121,al_c,q_80,blur_3,enc_avif,quality_auto/Reliance%20SBI%20Card.webp","5 points on spend of every INR 100 on dining, movies & entertainment, domestic airlines and international spending. Effective cashback rate is 1.25%.
"
110,IndusInd ePay Amex Credit Card,"https://static.wixstatic.com/media/257766_339881ac21964d96bca7e1a667cc94be~mv2.jpg/v1/fill/w_99,h_64,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/ePay-Webiste-Collaterals_Card-Dimensions-397-257px.jpg","Reward points can also be redeemed against air miles, 3 reward points = 1 air mile"
111,Etihad Guest SBI Premier Card,"https://static.wixstatic.com/media/f836e8_a69f27d17dbf495997be434763be1309~mv2.webp/v1/fill/w_190,h_121,al_c,q_80,blur_3,enc_avif,quality_auto/Etihad%20SBI%20Guest%20Premier%20Card.webp","Users will get 6 Etihad guest miles on every INR 100 spent on Etihad. 4 Etihad guest miles on every INR 100 spent on International spending. 2 Etihad guest miles on every INR 100 spent on other spend. and 1,500 Etihad Guest miles on annual spends of 15 lakhs. Users will get upto 10% (3% on Economy Class and 10% on Business Class) discount on direct Etihad Airways booking; Users will get 5% discount on travel rewards miles redemption"
112,InterMiles HDFC Bank Platinum Credit Card,"https://static.wixstatic.com/media/2a565f_0e4cff54b21d4a0fbafc4f6533df74c2~mv2.webp/v1/fill/w_66,h_42,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/2C-Product-Page-264x167-InterMiles-Platinum.webp", Customers can avail 5% discount on Etihad Airways Economy class tickets
115,Air India SBI Signature Card,"https://static.wixstatic.com/media/f836e8_a34f9d186ddc4a2cb7654e6d52e58a25~mv2.webp/v1/fill/w_190,h_121,al_c,q_80,blur_3,enc_avif,quality_auto/Air%20India%20SBI%20Signature%20Card.webp","Users will earn upto 30 reward points for every INR 100 spent on Air India tickets booked through airindia.com, airindia mobile app.  (30 reward points when booked for self and 10 reward points when booked for others).  Value of 1 reward point = INR 0.25. Points can also be converted into air miles. 1 point = 1 air mile. Air miles can be redeemed for air tickets. Air India travel cashback rate: 7.5%. 
"
118,Yes Prosperity Reward Plus Credit Card,"https://static.wixstatic.com/media/f836e8_4ace3e2ee6064545ad88d156c40699cc~mv2.webp/v1/fill/w_190,h_121,al_c,q_80,blur_3,enc_avif,quality_auto/Yes%20Prosperity%20Reward%20Plus%20Credit%20Card%20(1).webp","Users will get 4 reward points for every INR 200 on travel & dining spends with a cashback rate of 0.5%.
"
119,BOBCARD ETERNA,https://www.bobcard.co.in/_next/image?url=https%3A%2F%2Fmedia.bobcard.co.in%2F%2Fmedia%2Fabol2qea%2Feterna-shadow-19-feb24.png&amp;w=640&amp;q=75,"5X reward points on dining, travel and international spending. Cashback rate: 3.75%.
"
120,Yes Bank Card Anq Phi Credit  Card,,"Reward system: Users will earn 24 Yes Reward Points on every INR 200 spent on travel, dining, hotels and fast food; travel, dining, and grocery Cashback rate: 3%."
121,CITI Prestige Credit Card,"https://static.wixstatic.com/media/2a565f_19e5141669c5492185328599d5def1d9~mv2.webp/v1/fill/w_71,h_45,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_avif,quality_auto/download.webp",Users can earn 5x ThankYou points on flights booked directly with airlines or on select car rentals booked through Citi. Cashback rate 5%.
