Offer Title,,Image,,,Link,Eligible Cards,
Grab Up to 35% OFF* + Interest-FREE* EMI,,https://promos.makemytrip.com/appfest/2x/idfc-05012023.jpg,,,https://www.makemytrip.com/promos/rbl-nce-07072023.html?detail_image=no,RBL Bank Platinum Shopgain MasterCard,
Grab Up to 35% OFF* + Interest-FREE* EMI,,https://promos.makemytrip.com/appfest/2x/idfc-05012023.jpg,,,https://www.makemytrip.com/promos/rbl-nce-07072023.html?detail_image=no,RBL Bank Platinum Edge MasterCard,
Grab Up to 35% OFF* + Interest-FREE* EMI,,https://promos.makemytrip.com/appfest/2x/idfc-05012023.jpg,,,https://www.makemytrip.com/promos/rbl-nce-07072023.html?detail_image=no,RBL Bank MyFirst MasterCard,
Grab Up to 35% OFF* + Interest-FREE* EMI,,https://promos.makemytrip.com/appfest/2x/idfc-05012023.jpg,,,https://www.makemytrip.com/promos/rbl-nce-07072023.html?detail_image=no,RBL Bank Platinum Choice Visa,
Grab Up to 35% OFF* + Interest-FREE* EMI,,https://promos.makemytrip.com/appfest/2x/idfc-05012023.jpg,,,https://www.makemytrip.com/promos/rbl-nce-07072023.html?detail_image=no,RBL Bank EasySaver Visa,
Grab Up to 35% OFF* + Interest-FREE* EMI,,https://promos.makemytrip.com/appfest/2x/idfc-05012023.jpg,,,https://www.makemytrip.com/promos/rbl-nce-07072023.html?detail_image=no,RBL Bank Play Visa,
Grab Up to 35% OFF* + Interest-FREE* EMI,,https://promos.makemytrip.com/appfest/2x/idfc-05012023.jpg,,,https://www.makemytrip.com/promos/rbl-nce-07072023.html?detail_image=no,IRCTC RBL Bank RuPay,
Grab Up to 35% OFF* + Interest-FREE* EMI,,https://promos.makemytrip.com/appfest/2x/idfc-05012023.jpg,,,https://www.makemytrip.com/promos/rbl-nce-07072023.html?detail_image=no,TVS Credit RBL Bank RuPay Card,
Grab Up to 35% OFF* + Interest-FREE* EMI,,https://promos.makemytrip.com/appfest/2x/idfc-05012023.jpg,,,https://www.makemytrip.com/promos/rbl-nce-07072023.html?detail_image=no,RBL Bank SalarySe Up RuPay,
Grab Up to 35% OFF* + Interest-FREE* EMI,,https://promos.makemytrip.com/appfest/2x/idfc-05012023.jpg,,,https://www.makemytrip.com/promos/rbl-nce-07072023.html?detail_image=no,RBL Bank EasySaver MasterCard,
Grab Up to 35% OFF* + Interest-FREE* EMI,,https://promos.makemytrip.com/appfest/2x/idfc-05012023.jpg,,,https://www.makemytrip.com/promos/rbl-nce-07072023.html?detail_image=no,RBL Bank Binge MasterCard,
Grab Up to 35% OFF* + Interest-FREE* EMI,,https://promos.makemytrip.com/appfest/2x/idfc-05012023.jpg,,,https://www.makemytrip.com/promos/rbl-nce-07072023.html?detail_image=no,RBL Bank World Prime Visa,
