Offer Title,Image,Description,,Link,Eligible Credit Cards,Eligible Debit Cards
Yatra HDFC Offer,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Dec/66865c2854f0eb7f78bfecb440fde64d.jpg,YRHDFCCCEMI6,,https://www.yatra.com/offer/details/hdfc-credit-card-easy-emi-offers,HDFC Pixel Go Credit Card,
Yatra HDFC Offer,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Dec/66865c2854f0eb7f78bfecb440fde64d.jpg,YRHDFCCCEMI6,,https://www.yatra.com/offer/details/hdfc-credit-card-easy-emi-offers,6E Rewards Indigo HDFC Bank Credit Card,
Yatra HDFC Offer,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Dec/66865c2854f0eb7f78bfecb440fde64d.jpg,YRHDFCCCEMI6,,https://www.yatra.com/offer/details/hdfc-credit-card-easy-emi-offers,HDFC Bank Moneyback Plus Credit Card,
Yatra HDFC Offer,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Dec/66865c2854f0eb7f78bfecb440fde64d.jpg,YRHDFCCCEMI6,,https://www.yatra.com/offer/details/hdfc-credit-card-easy-emi-offers,Shoppers Stop Black HDFC Bank Credit Card,
Yatra HDFC Offer,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Dec/66865c2854f0eb7f78bfecb440fde64d.jpg,YRHDFCCCEMI6,,https://www.yatra.com/offer/details/hdfc-credit-card-easy-emi-offers,6E Rewards XL IndiGo HDFC Bank Credit Card,
Yatra HDFC Offer,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Dec/66865c2854f0eb7f78bfecb440fde64d.jpg,YRHDFCCCEMI6,,https://www.yatra.com/offer/details/hdfc-credit-card-easy-emi-offers,HDFC Bank UPI RuPay Biz Credit Card,
Yatra HDFC Offer,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Dec/66865c2854f0eb7f78bfecb440fde64d.jpg,YRHDFCCCEMI6,,https://www.yatra.com/offer/details/hdfc-credit-card-easy-emi-offers,HDFC Diners Club Privilege Credit Card,
Yatra HDFC Offer,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Dec/66865c2854f0eb7f78bfecb440fde64d.jpg,YRHDFCCCEMI6,,https://www.yatra.com/offer/details/hdfc-credit-card-easy-emi-offers,HDFC Bank Biz First Credit Card,
Yatra HDFC Offer,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Dec/66865c2854f0eb7f78bfecb440fde64d.jpg,YRHDFCCCEMI6,,https://www.yatra.com/offer/details/hdfc-credit-card-easy-emi-offers,HDFC Bank Platinum Times Credit Card,
Yatra HDFC Offer,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Dec/66865c2854f0eb7f78bfecb440fde64d.jpg,YRHDFCCCEMI6,,https://www.yatra.com/offer/details/hdfc-credit-card-easy-emi-offers,Indianoil HDFC Bank Credit Card,
