Offer Title,,,,Image,Link,Eligible Cards,
"Get up to 20% off
",,,,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/03/Cleartrip-Logo.svg,https://www.cleartrip.com/all-offers/bbd-hero-offer-international-flights/,Kotak Mojo Platinum,
"Get up to 20% off
",,,,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/03/Cleartrip-Logo.svg,https://www.cleartrip.com/all-offers/bbd-hero-offer-international-flights/,Kotak Zen Signature,
"Get up to 20% off
",,,,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/03/Cleartrip-Logo.svg,https://www.cleartrip.com/all-offers/bbd-hero-offer-international-flights/,Kotak League Platinum,
"Get up to 20% off
",,,,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/03/Cleartrip-Logo.svg,https://www.cleartrip.com/all-offers/bbd-hero-offer-international-flights/,Kotak White,
"Get up to 20% off
",,,,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/03/Cleartrip-Logo.svg,https://www.cleartrip.com/all-offers/bbd-hero-offer-international-flights/,Kotak 811 Dream Different,
"Get up to 20% off
",,,,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/03/Cleartrip-Logo.svg,https://www.cleartrip.com/all-offers/bbd-hero-offer-international-flights/,Kotak 811,
"Get up to 20% off
",,,,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/03/Cleartrip-Logo.svg,https://www.cleartrip.com/all-offers/bbd-hero-offer-international-flights/,Kotak Urbane Gold,
,,,,,,nan,
,,,,,,nan,
,,,,,,nan,
,,,,,,nan,
"Get up to 12% off 
on Flights booking
",,,,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/ICICI-Bank-Logo.png,https://www.cleartrip.com/all-offers/icici-bank-credit-card-ct-offer/,MakeMyTrip ICICI Bank,
"Get up to 12% off 
on Flights booking
",,,,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/ICICI-Bank-Logo.png,https://www.cleartrip.com/all-offers/icici-bank-credit-card-ct-offer/,ICICI Bank HPCL Super Saver Visa,
"Get up to 12% off 
on Flights booking
",,,,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/ICICI-Bank-Logo.png,https://www.cleartrip.com/all-offers/icici-bank-credit-card-ct-offer/,ICICI Bank HPCL Super Saver RuPay,
"Get up to 12% off 
on Flights booking
",,,,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/ICICI-Bank-Logo.png,https://www.cleartrip.com/all-offers/icici-bank-credit-card-ct-offer/,Amazon Pay ICICI Bank,
"Get up to 12% off 
on Flights booking
",,,,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/ICICI-Bank-Logo.png,https://www.cleartrip.com/all-offers/icici-bank-credit-card-ct-offer/,Skywards ICICI Bank Sapphiro,
"Get up to 12% off 
on Flights booking
",,,,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/ICICI-Bank-Logo.png,https://www.cleartrip.com/all-offers/icici-bank-credit-card-ct-offer/,ICICI Parakram Select,
"Get up to 12% off 
on Flights booking
",,,,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/ICICI-Bank-Logo.png,https://www.cleartrip.com/all-offers/icici-bank-credit-card-ct-offer/,Skywards ICICI Bank Emerald,
"Get up to 12% off 
on Flights booking
",,,,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/ICICI-Bank-Logo.png,https://www.cleartrip.com/all-offers/icici-bank-credit-card-ct-offer/,Accelero ICICI Bank,
"Get up to 12% off 
on Flights booking
",,,,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/ICICI-Bank-Logo.png,https://www.cleartrip.com/all-offers/icici-bank-credit-card-ct-offer/,ICICI HPCL Coral,
"Get up to 12% off 
on Flights booking
",,,,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/ICICI-Bank-Logo.png,https://www.cleartrip.com/all-offers/icici-bank-credit-card-ct-offer/,MakeMyTrip ICICI Bank Platinum,
"Get up to 12% off 
on Flights booking
",,,,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/ICICI-Bank-Logo.png,https://www.cleartrip.com/all-offers/icici-bank-credit-card-ct-offer/,MakeMyTrip ICICI Bank Signature,
"Get up to 12% off 
on Flights booking
",,,,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/ICICI-Bank-Logo.png,https://www.cleartrip.com/all-offers/icici-bank-credit-card-ct-offer/,ICICI Manchester United Platinum,
"Get up to 12% off 
on Flights booking
",,,,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/ICICI-Bank-Logo.png,https://www.cleartrip.com/all-offers/icici-bank-credit-card-ct-offer/,ICICI Parakram,
"Get up to 12% off 
on Flights booking
",,,,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/ICICI-Bank-Logo.png,https://www.cleartrip.com/all-offers/icici-bank-credit-card-ct-offer/,Expressions,
"Get up to 12% off 
on Flights booking
",,,,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/ICICI-Bank-Logo.png,https://www.cleartrip.com/all-offers/icici-bank-credit-card-ct-offer/,Emirates Skywards Rubyx,
"Get up to 12% off 
on Flights booking
",,,,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/ICICI-Bank-Logo.png,https://www.cleartrip.com/all-offers/icici-bank-credit-card-ct-offer/,Adani One ICICI Platinum,
"Get up to 12% off 
on Flights booking
",,,,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/ICICI-Bank-Logo.png,https://www.cleartrip.com/all-offers/icici-bank-credit-card-ct-offer/,Adani One ICICI Signature,
"Get up to 12% off 
on Flights booking
",,,,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/ICICI-Bank-Logo.png,https://www.cleartrip.com/all-offers/icici-bank-credit-card-ct-offer/,ICICI Bank Emeralde,
"Get up to 12% off 
on Flights booking
",,,,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/ICICI-Bank-Logo.png,https://www.cleartrip.com/all-offers/icici-bank-credit-card-ct-offer/,ICICI Bank Instant Platinum,
"Get up to 12% off 
on Flights booking
",,,,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/ICICI-Bank-Logo.png,https://www.cleartrip.com/all-offers/icici-bank-credit-card-ct-offer/,ICICI Manchester United Signature,
"Get up to 12% off 
on Flights booking
",,,,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/ICICI-Bank-Logo.png,https://www.cleartrip.com/all-offers/icici-bank-credit-card-ct-offer/,ICICI Bank Sapphiro,
"Get up to 12% off 
on Flights booking
",,,,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/ICICI-Bank-Logo.png,https://www.cleartrip.com/all-offers/icici-bank-credit-card-ct-offer/,ICICI Bank Coral RuPay,
"Get up to 12% off 
on Flights booking
",,,,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/ICICI-Bank-Logo.png,https://www.cleartrip.com/all-offers/icici-bank-credit-card-ct-offer/,Chennai Super Kings ICICI Bank,
"Get up to 12% off 
on Flights booking
",,,,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/ICICI-Bank-Logo.png,https://www.cleartrip.com/all-offers/icici-bank-credit-card-ct-offer/,.,
"Get up to 12% off 
on Flights booking
",,,,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/ICICI-Bank-Logo.png,https://www.cleartrip.com/all-offers/icici-bank-credit-card-ct-offer/,ICICI Bank Coral Visa,
"Get up to 12% off 
on Flights booking
",,,,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/ICICI-Bank-Logo.png,https://www.cleartrip.com/all-offers/icici-bank-credit-card-ct-offer/,ICICI Bank Rubyx RuPay,
"Get up to 12% off 
on Flights booking
",,,,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/ICICI-Bank-Logo.png,https://www.cleartrip.com/all-offers/icici-bank-credit-card-ct-offer/,ICICI Bank Rubyx Visa,
"Get up to 12% off 
on Flights booking
",,,,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/ICICI-Bank-Logo.png,https://www.cleartrip.com/all-offers/icici-bank-credit-card-ct-offer/,Platinum Chip,
"Get up to 12% off 
on Flights booking
",,,,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/01/ICICI-Bank-Logo.png,https://www.cleartrip.com/all-offers/icici-bank-credit-card-ct-offer/,ICICI Bank Times Black,
"Get up to Rs. 5,000 off 
+ on Flights booking
",,,,https://www.cleartrip.com/all-offers/wp-content/uploads/2023/12/HDFC-1.jpg,https://www.cleartrip.com/all-offers/hdfc-emi-flights-ct-offer/,HDFC Pixel Play,
